             r1x                 r1y                 r2x                 r2y                 r3x                 r3y                   t    
         -0.92976729         -0.36814777          1.16681493          0.46200842          2.55225424          1.01058266          1.03000000
         -0.92841352         -0.37154857          1.16511601          0.46627626          2.54853807          1.01991801          1.04000000
         -0.92704730         -0.37494439          1.16340147          0.47053786          2.54478775          1.02923970          1.05000000
         -0.92566867         -0.37833519          1.16167135          0.47479316          2.54100333          1.03854760          1.06000000
         -0.92427763         -0.38172092          1.15992566          0.47904209          2.53718487          1.04784159          1.07000000
         -0.92287421         -0.38510153          1.15816443          0.48328461          2.53333241          1.05712153          1.08000000
         -0.92145842         -0.38847699          1.15638769          0.48752065          2.52944601          1.06638731          1.09000000
         -0.92003029         -0.39184724          1.15459545          0.49175016          2.52552573          1.07563881          1.10000000
         -0.91858983         -0.39521224          1.15278774          0.49597308          2.52157160          1.08487589          1.11000000
         -0.91713707         -0.39857195          1.15096458          0.50018935          2.51758369          1.09409844          1.12000000
         -0.91567202         -0.40192631          1.14912601          0.50439892          2.51356205          1.10330633          1.13000000
         -0.91419469         -0.40527529          1.14727204          0.50860174          2.50950673          1.11249943          1.14000000
         -0.91270512         -0.40861884          1.14540270          0.51279774          2.50541779          1.12167763          1.15000000
         -0.91120332         -0.41195692          1.14351801          0.51698687          2.50129529          1.13084081          1.16000000
         -0.90968932         -0.41528948          1.14161800          0.52116908          2.49713927          1.13998883          1.17000000
         -0.90816312         -0.41861647          1.13970269          0.52534430          2.49294979          1.14912157          1.18000000
         -0.90662476         -0.42193785          1.13777212          0.52951248          2.48872691          1.15823893          1.19000000
         -0.90507425         -0.42525358          1.13582630          0.53367357          2.48447069          1.16734076          1.20000000
         -0.90351161         -0.42856361          1.13386526          0.53782751          2.48018118          1.17642695          1.21000000
         -0.90193687         -0.43186790          1.13188903          0.54197424          2.47585844          1.18549738          1.22000000
         -0.90035004         -0.43516641          1.12989764          0.54611371          2.47150252          1.19455193          1.23000000
         -0.89875115         -0.43845908          1.12789111          0.55024586          2.46711350          1.20359047          1.24000000
